CREATE DATABASE IF NOT EXISTS dummyweatherdatadb;
USE dummyweatherdatadb;
DROP TABLE IF EXISTS weatherdata;
CREATE TABLE IF NOT EXISTS weatherdata (date DATE NOT NULL, time TIME NOT NULL, temperature FLOAT(24) NOT NULL);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 000000, 19.570177154875864);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 001500, 19.357867740181128);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 003000, 19.19067058775212);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 004500, 19.4140978783311);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 010000, 18.889914479133235);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 011500, 18.873686071167);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 013000, 19.39547759864593);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 014500, 18.92150248852373);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 020000, 18.82179058780606);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 021500, 19.174940426392382);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 023000, 18.73494882584758);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 024500, 18.522005281532508);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 030000, 19.163396613274504);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 031500, 18.959448526612636);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 033000, 18.778349708572293);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 034500, 18.856474127939478);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 040000, 18.947909642773233);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 041500, 18.994778280890028);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 043000, 18.98165460316976);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 044500, 18.938563747564174);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 050000, 18.726958679106932);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 051500, 19.107621582263924);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 053000, 18.780757564018515);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 054500, 19.46018646490341);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 060000, 19.220689460046966);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 061500, 19.25999038145392);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 063000, 19.230135852125407);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 064500, 19.519345806104074);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 070000, 19.772539595445775);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 071500, 19.82448192385052);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 073000, 19.917496646805127);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 074500, 19.98127740787516);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 080000, 20.261731371221774);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 081500, 20.352400536242335);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 083000, 20.453832135426364);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 084500, 20.58932773447418);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 090000, 20.668677466698515);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 091500, 20.764567780700396);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 093000, 20.945533239753175);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 094500, 21.079932512764763);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 100000, 21.188076620934154);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 101500, 21.362861085430026);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 103000, 21.531274294508027);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 104500, 21.515152116536882);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 110000, 21.706143280421);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 111500, 21.819631703309128);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 113000, 22.12843045804352);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 114500, 22.03029809381176);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 120000, 22.422455432028386);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 121500, 22.600217653792164);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 123000, 22.62822321185159);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 124500, 22.523315644864184);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 130000, 22.65727957265045);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 131500, 22.95010567199427);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 133000, 23.051005566043077);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 134500, 22.81982103617682);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 140000, 23.26877857842552);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 141500, 22.842111237263353);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 143000, 22.766537558768018);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 144500, 22.91299945380665);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 150000, 23.071523404271627);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 151500, 22.975349455917012);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 153000, 23.294154512607964);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 154500, 23.37583362314893);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 160000, 23.49745148586037);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 161500, 22.874677205404527);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 163000, 22.868892722542547);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 164500, 22.752495724673953);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 170000, 23.266298017588234);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 171500, 22.670932542623753);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 173000, 23.254976267317954);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 174500, 23.25245685402035);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 180000, 23.08665217097032);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 181500, 22.74699441826538);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 183000, 22.976535997704595);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 184500, 22.57912771024744);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 190000, 22.729449766158325);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 191500, 22.64563942357665);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 193000, 22.144845642404686);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 194500, 22.369926806399683);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 200000, 22.071977384281084);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 201500, 21.927612521760242);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 203000, 21.77025686678613);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 204500, 21.744491535628622);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 210000, 21.62941122884834);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 211500, 21.477848694476833);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 213000, 21.37522328375187);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 214500, 21.258596914073888);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 220000, 21.123300848531713);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 221500, 20.97130612642947);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 223000, 20.841830272937003);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 224500, 20.8327697067094);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 230000, 20.78304803795732);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 231500, 20.624915445554407);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 233000, 20.330312582633677);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190701', 234500, 20.196467776649722);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 000000, 20.195268591855196);
INSERT INTO weatherdata (date, time, temperature) VALUES ('20190702', 001500, 20.125998772663756);
