Vuosi,Kk,Pv,Klo,Aikavyöhyke,Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Ilman lämpötila (degC)
2019,11,1,00:00,UTC,1012.8,100,-0.2
2019,11,1,00:10,UTC,1012.8,100,-0.3
2019,11,1,00:20,UTC,1012.9,100,-0.4
2019,11,1,00:30,UTC,1012.9,100,-0.3
2019,11,1,00:40,UTC,1012.9,100,-0.4
2019,11,1,00:50,UTC,1013,100,-0.4
2019,11,1,01:00,UTC,1012.9,100,-0.3
2019,11,1,01:10,UTC,1012.9,100,-0.5
2019,11,1,01:20,UTC,1012.9,100,-0.6
2019,11,1,01:30,UTC,1012.9,100,-0.6
2019,11,1,01:40,UTC,1012.9,100,-0.6
2019,11,1,01:50,UTC,1012.9,100,-0.6
2019,11,1,02:00,UTC,1012.9,100,-0.7
2019,11,1,02:10,UTC,1013,100,-0.7
2019,11,1,02:20,UTC,1013,100,-0.5
2019,11,1,02:30,UTC,1013,100,-0.6
2019,11,1,02:40,UTC,1013,100,-0.6
2019,11,1,02:50,UTC,1013.1,100,-0.7
2019,11,1,03:00,UTC,1013,100,-0.8
2019,11,1,03:10,UTC,1013,100,-0.8
2019,11,1,03:20,UTC,1013.1,100,-0.8
2019,11,1,03:30,UTC,1013.1,100,-0.8
2019,11,1,03:40,UTC,1013,100,-0.9
2019,11,1,03:50,UTC,1013,100,-0.9
2019,11,1,04:00,UTC,1013,100,-0.8
2019,11,1,04:10,UTC,1013,100,-0.8
2019,11,1,04:20,UTC,1013,100,-0.8
2019,11,1,04:30,UTC,1013,100,-0.8
2019,11,1,04:40,UTC,1013,99,-1.1
2019,11,1,04:50,UTC,1013,100,-1.3
2019,11,1,05:00,UTC,1013,100,-1.3
2019,11,1,05:10,UTC,1013.1,100,-1.3
2019,11,1,05:20,UTC,1013.2,100,-1.2
2019,11,1,05:30,UTC,1013.2,100,-1.3
2019,11,1,05:40,UTC,1013.2,100,-1.2
2019,11,1,05:50,UTC,1013.2,100,-0.9
2019,11,1,06:00,UTC,1013.3,99,-1
2019,11,1,06:10,UTC,1013.3,100,-0.9
2019,11,1,06:20,UTC,1013.3,99,-1
2019,11,1,06:30,UTC,1013.4,100,-1
2019,11,1,06:40,UTC,1013.3,100,-1
2019,11,1,06:50,UTC,1013.4,100,-0.9
2019,11,1,07:00,UTC,1013.4,99,-0.7
2019,11,1,07:10,UTC,1013.3,99,-0.6
2019,11,1,07:20,UTC,1013.4,98,-0.4
2019,11,1,07:30,UTC,1013.4,97,-0.3
2019,11,1,07:40,UTC,1013.5,97,-0.1
2019,11,1,07:50,UTC,1013.5,97,0.1
2019,11,1,08:00,UTC,1013.4,95,0.5
2019,11,1,08:10,UTC,1013.5,94,0.7
2019,11,1,08:20,UTC,1013.5,93,0.9
2019,11,1,08:30,UTC,1013.6,92,1.2
2019,11,1,08:40,UTC,1013.5,91,1.3
2019,11,1,08:50,UTC,1013.5,91,1.4
2019,11,1,09:00,UTC,1013.5,91,1.5
2019,11,1,09:10,UTC,1013.4,89,1.7
2019,11,1,09:20,UTC,1013.3,89,2
2019,11,1,09:30,UTC,1013.4,87,2.2
2019,11,1,09:40,UTC,1013.4,85,2.4
2019,11,1,09:50,UTC,1013.4,83,2.7
2019,11,1,10:00,UTC,1013.4,83,2.7
2019,11,1,10:10,UTC,1013.3,82,2.8
2019,11,1,10:20,UTC,1013.3,82,2.9
2019,11,1,10:30,UTC,1013.3,82,2.8
2019,11,1,10:40,UTC,1013.3,80,3
2019,11,1,10:50,UTC,1013.3,80,3.2
2019,11,1,11:00,UTC,1013.3,81,3.2
2019,11,1,11:10,UTC,1013.2,82,3.3
2019,11,1,11:20,UTC,1013.2,82,3.2
2019,11,1,11:30,UTC,1013.2,81,3.2
2019,11,1,11:40,UTC,1013.1,82,3.2
2019,11,1,11:50,UTC,1013.2,82,3.1
2019,11,1,12:00,UTC,1013.1,83,3.2
2019,11,1,12:10,UTC,1013,82,3.3
2019,11,1,12:20,UTC,1013,82,3.4
2019,11,1,12:30,UTC,1013,82,3.3
2019,11,1,12:40,UTC,1013.1,82,3.3
2019,11,1,12:50,UTC,1013.1,83,3.3
2019,11,1,13:00,UTC,1013.1,83,3.2
2019,11,1,13:10,UTC,1013.2,84,3.1
2019,11,1,13:20,UTC,1013.2,85,2.9
2019,11,1,13:30,UTC,1013.2,84,3
2019,11,1,13:40,UTC,1013.1,84,2.9
2019,11,1,13:50,UTC,1013.2,86,2.7
2019,11,1,14:00,UTC,1013.2,87,2.5
2019,11,1,14:10,UTC,1013.2,89,2
2019,11,1,14:20,UTC,1013.2,90,1.8
2019,11,1,14:30,UTC,1013.1,90,1.5
2019,11,1,14:40,UTC,1013.1,93,1.1
2019,11,1,14:50,UTC,1013.1,93,1.5
2019,11,1,15:00,UTC,1013.1,92,1.4
