date,time,pressure (hPa),humidity (%),temperature (degC)
20190101,00:00,1000.4,100,0.3
20190101,00:10,1000.1,100,0.3
20190101,00:20,999.7,100,0.5
20190101,00:30,999.3,100,0.7
20190101,00:40,999,100,0.8
20190101,00:50,998.6,100,0.9
20190101,01:00,998.2,100,1
20190101,01:10,997.9,100,1.2
20190101,01:20,997.6,100,1.2
20190101,01:30,997.2,100,1.4
20190101,01:40,996.9,100,1.4
20190101,01:50,996.5,100,1.4
20190101,02:00,996.2,100,1.5
20190101,02:10,995.8,100,1.6
20190101,02:20,995.5,100,1.6
20190101,02:30,995.1,100,1.7
20190101,02:40,994.7,100,1.7
20190101,02:50,994.3,100,1.9
20190101,03:00,993.9,100,1.9
20190101,03:10,993.5,100,1.9
20190101,03:20,993,100,2
20190101,03:30,992.7,100,2.1
20190101,03:40,992.2,100,2.1
20190101,03:50,991.9,100,2.1
20190101,04:00,991.4,100,2.1
20190101,04:10,991,100,2.2
20190101,04:20,990.8,100,2.3
20190101,04:30,990.5,100,2.2
20190101,04:40,990.1,100,2.4
20190101,04:50,989.8,100,2.3
20190101,05:00,989.5,100,2.5
20190101,05:10,989.3,100,2.4
20190101,05:20,988.9,100,2.4
20190101,05:30,988.7,100,2.4
20190101,05:40,988.3,100,2.6
20190101,05:50,988.1,100,2.5
20190101,06:00,987.9,100,2.7
20190101,06:10,987.6,100,2.5
20190101,06:20,987.3,100,2.6
20190101,06:30,987,100,2.4
20190101,06:40,986.7,100,2.5
20190101,06:50,986.5,100,2.5
20190101,07:00,986.1,100,2.6
20190101,07:10,985.8,100,2.5
20190101,07:20,985.6,100,2.6
20190101,07:30,985.3,100,2.4
20190101,07:40,985.1,100,2.4
20190101,07:50,984.8,100,2.4
20190101,08:00,984.5,100,2.5
20190101,08:10,984.3,100,2.5
20190101,08:20,984.1,100,2.5
20190101,08:30,983.8,100,2.6
20190101,08:40,983.6,100,2.5
20190101,08:50,983.4,100,2.6
20190101,09:00,983.1,100,2.8
20190101,09:10,982.8,100,2.7
20190101,09:20,982.5,100,2.7
20190101,09:30,982.4,100,2.7
20190101,09:40,982.1,100,2.8
20190101,09:50,981.8,100,3
20190101,10:00,981.5,100,3
20190101,10:10,981.4,100,3.1
20190101,10:20,981.2,100,3.1
20190101,10:30,981.1,100,3
20190101,10:40,981,100,3.1
20190101,10:50,980.8,100,3.1
20190101,11:00,980.7,100,3.1
20190101,11:10,980.7,100,3.1
20190101,11:20,980.7,100,3.1
20190101,11:30,980.6,100,3.1
20190101,11:40,980.5,100,2.9
20190101,11:50,980.4,100,2.8
20190101,12:00,980.5,100,2.8
20190101,12:10,980.4,100,2.9
20190101,12:20,980.3,100,2.8
20190101,12:30,980.3,100,3
20190101,12:40,980.3,100,3.1
20190101,12:50,980.4,100,3
20190101,13:00,980.4,100,2.9
20190101,13:10,980.4,100,2.7
20190101,13:20,980.3,100,2.6
20190101,13:30,980.4,100,2.7
20190101,13:40,980.4,100,2.7
20190101,13:50,980.4,100,2.5
20190101,14:00,980.4,100,2.4
20190101,14:10,980.4,100,2.4
20190101,14:20,980.4,100,2.2
20190101,14:30,980.4,100,2.2
20190101,14:40,980.5,100,2.1
20190101,14:50,980.5,100,2.1
20190101,15:00,980.5,100,1.9
20190101,15:10,980.6,100,2
20190101,15:20,980.5,100,2
20190101,15:30,980.6,100,2.1
20190101,15:40,980.6,100,1.9
20190101,15:50,980.6,100,1.9
20190101,16:00,980.7,100,1.8
20190101,16:10,980.7,100,1.7
20190101,16:20,980.6,100,1.5
20190101,16:30,980.6,100,1.5
20190101,16:40,980.6,100,1.5
20190101,16:50,980.8,100,1.4
20190101,17:00,980.8,100,1.3
20190101,17:10,980.8,100,1.2
20190101,17:20,981,100,1.2
20190101,17:30,981.1,100,1.1
20190101,17:40,981.1,100,1.2
20190101,17:50,981.2,100,1.2
20190101,18:00,981.2,100,1.3
20190101,18:10,981.3,100,1.2
20190101,18:20,981.3,100,1.1
20190101,18:30,981.3,100,1.2
20190101,18:40,981.4,100,1.1
20190101,18:50,981.5,100,1.1
20190101,19:00,981.6,100,1.2
20190101,19:10,981.6,100,1.1
20190101,19:20,981.7,100,1
20190101,19:30,981.9,100,1.1
20190101,19:40,982,100,1.2
20190101,19:50,982.1,100,1.1
20190101,20:00,982.2,100,1
20190101,20:10,982.4,100,1
20190101,20:20,982.5,100,1
20190101,20:30,982.7,100,1
20190101,20:40,982.8,100,1.1
20190101,20:50,982.9,100,1.3
20190101,21:00,983,100,1
20190101,21:10,983.1,100,1.1
20190101,21:20,983.2,100,1.1
20190101,21:30,983.4,100,1.2
20190101,21:40,983.5,100,1.2
20190101,21:50,983.7,100,1.3
20190101,22:00,983.8,100,1.4
20190101,22:10,983.9,99,1.4
20190101,22:20,984.1,99,1.3
20190101,22:30,984.3,99,1.3
20190101,22:40,984.5,99,1.1
20190101,22:50,984.7,100,0.9
20190101,23:00,984.9,100,0.9
20190101,23:10,985.1,100,0.9
20190101,23:20,985.4,100,1
20190101,23:30,985.7,100,1
20190101,23:40,985.9,100,1.1
20190101,23:50,986.2,100,1.1
20190102,00:00,986.5,100,1
20190102,00:10,986.7,100,1
20190102,00:20,986.9,100,1
20190102,00:30,987.2,100,0.9
20190102,00:40,987.5,100,0.8
20190102,00:50,987.7,100,0.8
20190102,01:00,988,99,0.7
20190102,01:10,988.3,99,0.6
20190102,01:20,988.5,99,0.6
20190102,01:30,988.8,99,0.6
20190102,01:40,989,97,0.6
20190102,01:50,989.2,97,0.6
20190102,02:00,989.5,98,0.4
20190102,02:10,989.8,97,0.4
20190102,02:20,990.1,97,0.3
20190102,02:30,990.5,97,0.2
20190102,02:40,990.8,97,0
20190102,02:50,991.2,98,-0.1
20190102,03:00,991.6,97,-0.8
20190102,03:10,992,96,-1.2
20190102,03:20,992.3,93,-1.4
20190102,03:30,992.5,94,-1.6
20190102,03:40,992.9,92,-1.7
20190102,03:50,993.2,91,-1.8
20190102,04:00,993.6,89,-1.9
20190102,04:10,994,88,-2
20190102,04:20,994.5,88,-2.1
20190102,04:30,994.7,88,-2.2
20190102,04:40,995.1,86,-2.2
20190102,04:50,995.4,87,-2.3
20190102,05:00,995.7,85,-2.3
20190102,05:10,996.1,85,-2.3
20190102,05:20,996.5,84,-2.2
20190102,05:30,996.9,84,-2.2
20190102,05:40,997.2,83,-2.1
20190102,05:50,997.5,85,-2.1
20190102,06:00,997.8,86,-2.3
20190102,06:10,998.2,88,-2.3
20190102,06:20,998.5,90,-2.5
20190102,06:30,998.9,92,-2.7
20190102,06:40,999.1,91,-2.7
20190102,06:50,999.3,90,-2.8
20190102,07:00,999.7,89,-2.8
20190102,07:10,1000.2,88,-2.8
20190102,07:20,1000.5,87,-3
20190102,07:30,1000.8,87,-3.1
20190102,07:40,1001,89,-3.2
20190102,07:50,1001.2,86,-3.2
20190102,08:00,1001.6,88,-3.3
20190102,08:10,1001.8,87,-3.4
20190102,08:20,1002,86,-3.5
20190102,08:30,1002.2,86,-3.6
20190102,08:40,1002.4,85,-3.6
20190102,08:50,1002.8,85,-3.6
20190102,09:00,1003,84,-3.6
20190102,09:10,1003.3,84,-3.6
20190102,09:20,1003.5,84,-3.7
20190102,09:30,1003.7,85,-3.7
20190102,09:40,1003.9,85,-3.7
20190102,09:50,1004,85,-3.8
20190102,10:00,1004.3,85,-3.8
20190102,10:10,1004.5,86,-3.9
20190102,10:20,1004.6,85,-3.9
20190102,10:30,1004.8,85,-3.9
20190102,10:40,1005,85,-4
20190102,10:50,1005.2,87,-4.2
20190102,11:00,1005.4,88,-4.3
20190102,11:10,1005.6,89,-4.4
20190102,11:20,1005.8,89,-4.5
20190102,11:30,1005.9,88,-4.5
20190102,11:40,1006.1,86,-4.4
20190102,11:50,1006.4,85,-4.3
20190102,12:00,1006.7,84,-4.3
20190102,12:10,1007,83,-4.3
20190102,12:20,,,
20190102,12:30,1007.4,85,-4.5
20190102,12:40,1007.6,84,-4.5
20190102,12:50,1007.9,83,-4.5
20190102,13:00,1008.1,81,-4.5
20190102,13:10,1008.5,79,-4.5
20190102,13:20,1008.7,77,-4.5
20190102,13:30,1008.9,76,-4.6
20190102,13:40,1009.1,75,-4.7
20190102,13:50,1009.4,75,-4.9
20190102,14:00,1009.6,76,-5.1
20190102,14:10,1009.7,75,-5.2
20190102,14:20,1009.9,74,-5.3
20190102,14:30,1010.2,72,-5.5
20190102,14:40,1010.4,72,-5.7
20190102,14:50,1010.7,69,-5.8
20190102,15:00,1011,68,-5.9
20190102,15:10,1011.1,68,-6.1
20190102,15:20,1011.3,66,-6.1
20190102,15:30,1011.5,66,-6.2
20190102,15:40,1011.7,67,-6.4
20190102,15:50,1011.9,67,-6.5
20190102,16:00,1012.1,68,-6.6
20190102,16:10,1012.2,68,-6.6
20190102,16:20,1012.3,69,-6.7
20190102,16:30,1012.5,68,-6.7
20190102,16:40,1012.6,69,-6.8
20190102,16:50,1012.7,69,-6.8
20190102,17:00,1012.7,67,-6.8
20190102,17:10,1012.9,69,-7
20190102,17:20,1013.1,70,-7.1
20190102,17:30,1013.2,70,-7.2
20190102,17:40,1013.4,70,-7.2
20190102,17:50,1013.5,71,-7.3
20190102,18:00,1013.6,70,-7.2
20190102,18:10,1013.8,70,-7.2
20190102,18:20,1013.9,70,-7.3
20190102,18:30,1014.2,70,-7.4
20190102,18:40,1014.4,70,-7.4
20190102,18:50,1014.5,71,-7.5
20190102,19:00,1014.5,71,-7.5
20190102,19:10,1014.7,70,-7.4
20190102,19:20,1014.8,71,-7.4
20190102,19:30,1014.9,72,-7.5
20190102,19:40,1015.1,73,-7.5
