,date,time,pressure (hPa),humidity (%),temperature (degC)
0,20190101,00:00,1000.4,100.0,0.3
1,20190101,00:10,1000.1,100.0,0.3
2,20190101,00:20,999.7,100.0,0.5
3,20190101,00:30,999.3,100.0,0.7
4,20190101,00:40,999.0,100.0,0.8
5,20190101,00:50,998.6,100.0,0.9
6,20190101,01:00,998.2,100.0,1.0
7,20190101,01:10,997.9,100.0,1.2
8,20190101,01:20,997.6,100.0,1.2
9,20190101,01:30,997.2,100.0,1.4
10,20190101,01:40,996.9,100.0,1.4
11,20190101,01:50,996.5,100.0,1.4
12,20190101,02:00,996.2,100.0,1.5
13,20190101,02:10,995.8,100.0,1.6
14,20190101,02:20,995.5,100.0,1.6
15,20190101,02:30,995.1,100.0,1.7
16,20190101,02:40,994.7,100.0,1.7
17,20190101,02:50,994.3,100.0,1.9
18,20190101,03:00,993.9,100.0,1.9
19,20190101,03:10,993.5,100.0,1.9
20,20190101,03:20,993.0,100.0,2.0
21,20190101,03:30,992.7,100.0,2.1
22,20190101,03:40,992.2,100.0,2.1
23,20190101,03:50,991.9,100.0,2.1
24,20190101,04:00,991.4,100.0,2.1
25,20190101,04:10,991.0,100.0,2.2
26,20190101,04:20,990.8,100.0,2.3
27,20190101,04:30,990.5,100.0,2.2
28,20190101,04:40,990.1,100.0,2.4
29,20190101,04:50,989.8,100.0,2.3
30,20190101,05:00,989.5,100.0,2.5
31,20190101,05:10,989.3,100.0,2.4
32,20190101,05:20,988.9,100.0,2.4
33,20190101,05:30,988.7,100.0,2.4
34,20190101,05:40,988.3,100.0,2.6
35,20190101,05:50,988.1,100.0,2.5
36,20190101,06:00,987.9,100.0,2.7
37,20190101,06:10,987.6,100.0,2.5
38,20190101,06:20,987.3,100.0,2.6
39,20190101,06:30,987.0,100.0,2.4
40,20190101,06:40,986.7,100.0,2.5
41,20190101,06:50,986.5,100.0,2.5
42,20190101,07:00,986.1,100.0,2.6
43,20190101,07:10,985.8,100.0,2.5
44,20190101,07:20,985.6,100.0,2.6
45,20190101,07:30,985.3,100.0,2.4
46,20190101,07:40,985.1,100.0,2.4
47,20190101,07:50,984.8,100.0,2.4
48,20190101,08:00,984.5,100.0,2.5
49,20190101,08:10,984.3,100.0,2.5
50,20190101,08:20,984.1,100.0,2.5
51,20190101,08:30,983.8,100.0,2.6
52,20190101,08:40,983.6,100.0,2.5
53,20190101,08:50,983.4,100.0,2.6
54,20190101,09:00,983.1,100.0,2.8
55,20190101,09:10,982.8,100.0,2.7
56,20190101,09:20,982.5,100.0,2.7
57,20190101,09:30,982.4,100.0,2.7
58,20190101,09:40,982.1,100.0,2.8
59,20190101,09:50,981.8,100.0,3.0
60,20190101,10:00,981.5,100.0,3.0
61,20190101,10:10,981.4,100.0,3.1
62,20190101,10:20,981.2,100.0,3.1
63,20190101,10:30,981.1,100.0,3.0
64,20190101,10:40,981.0,100.0,3.1
65,20190101,10:50,980.8,100.0,3.1
66,20190101,11:00,980.7,100.0,3.1
67,20190101,11:10,980.7,100.0,3.1
68,20190101,11:20,980.7,100.0,3.1
69,20190101,11:30,980.6,100.0,3.1
70,20190101,11:40,980.5,100.0,2.9
71,20190101,11:50,980.4,100.0,2.8
72,20190101,12:00,980.5,100.0,2.8
73,20190101,12:10,980.4,100.0,2.9
74,20190101,12:20,980.3,100.0,2.8
75,20190101,12:30,980.3,100.0,3.0
76,20190101,12:40,980.3,100.0,3.1
77,20190101,12:50,980.4,100.0,3.0
78,20190101,13:00,980.4,100.0,2.9
79,20190101,13:10,980.4,100.0,2.7
80,20190101,13:20,980.3,100.0,2.6
81,20190101,13:30,980.4,100.0,2.7
82,20190101,13:40,980.4,100.0,2.7
83,20190101,13:50,980.4,100.0,2.5
84,20190101,14:00,980.4,100.0,2.4
85,20190101,14:10,980.4,100.0,2.4
86,20190101,14:20,980.4,100.0,2.2
87,20190101,14:30,980.4,100.0,2.2
88,20190101,14:40,980.5,100.0,2.1
89,20190101,14:50,980.5,100.0,2.1
90,20190101,15:00,980.5,100.0,1.9
91,20190101,15:10,980.6,100.0,2.0
92,20190101,15:20,980.5,100.0,2.0
93,20190101,15:30,980.6,100.0,2.1
94,20190101,15:40,980.6,100.0,1.9
95,20190101,15:50,980.6,100.0,1.9
96,20190101,16:00,980.7,100.0,1.8
97,20190101,16:10,980.7,100.0,1.7
98,20190101,16:20,980.6,100.0,1.5
99,20190101,16:30,980.6,100.0,1.5
100,20190101,16:40,980.6,100.0,1.5
101,20190101,16:50,980.8,100.0,1.4
102,20190101,17:00,980.8,100.0,1.3
103,20190101,17:10,980.8,100.0,1.2
104,20190101,17:20,981.0,100.0,1.2
105,20190101,17:30,981.1,100.0,1.1
106,20190101,17:40,981.1,100.0,1.2
107,20190101,17:50,981.2,100.0,1.2
108,20190101,18:00,981.2,100.0,1.3
109,20190101,18:10,981.3,100.0,1.2
110,20190101,18:20,981.3,100.0,1.1
111,20190101,18:30,981.3,100.0,1.2
112,20190101,18:40,981.4,100.0,1.1
113,20190101,18:50,981.5,100.0,1.1
114,20190101,19:00,981.6,100.0,1.2
115,20190101,19:10,981.6,100.0,1.1
116,20190101,19:20,981.7,100.0,1.0
117,20190101,19:30,981.9,100.0,1.1
118,20190101,19:40,982.0,100.0,1.2
119,20190101,19:50,982.1,100.0,1.1
120,20190101,20:00,982.2,100.0,1.0
121,20190101,20:10,982.4,100.0,1.0
