year,month,day,date,time,time,pressure (hPa),humidity (%),temperature (degC)
2019,1,1,20190101,00:00,,1000.4,100,0.3
2019,1,1,,00:10,,1000.1,100,0.3
2019,1,1,,00:20,,999.7,100,0.5
2019,1,1,,00:30,,999.3,100,0.7
2019,1,1,,00:40,,999,100,0.8
2019,1,1,,00:50,,998.6,100,0.9
2019,1,1,,01:00,,998.2,100,1
2019,1,1,,01:10,,997.9,100,1.2
2019,1,1,,01:20,,997.6,100,1.2
2019,1,1,,01:30,,997.2,100,1.4
2019,1,1,,01:40,,996.9,100,1.4
2019,1,1,,01:50,,996.5,100,1.4
2019,1,1,,02:00,,996.2,100,1.5
2019,1,1,,02:10,,995.8,100,1.6
2019,1,1,,02:20,,995.5,100,1.6
2019,1,1,,02:30,,995.1,100,1.7
2019,1,1,,02:40,,994.7,100,1.7
2019,1,1,,02:50,,994.3,100,1.9
2019,1,1,,03:00,,993.9,100,1.9
2019,1,1,,03:10,,993.5,100,1.9
2019,1,1,,03:20,,993,100,2
2019,1,1,,03:30,,992.7,100,2.1
2019,1,1,,03:40,,992.2,100,2.1
2019,1,1,,03:50,,991.9,100,2.1
2019,1,1,,04:00,,991.4,100,2.1
2019,1,1,,04:10,,991,100,2.2
2019,1,1,,04:20,,990.8,100,2.3
2019,1,1,,04:30,,990.5,100,2.2
2019,1,1,,04:40,,990.1,100,2.4
2019,1,1,,04:50,,989.8,100,2.3
2019,1,1,,05:00,,989.5,100,2.5
2019,1,1,,05:10,,989.3,100,2.4
2019,1,1,,05:20,,988.9,100,2.4
2019,1,1,,05:30,,988.7,100,2.4
2019,1,1,,05:40,,988.3,100,2.6
2019,1,1,,05:50,,988.1,100,2.5
2019,1,1,,06:00,,987.9,100,2.7
2019,1,1,,06:10,,987.6,100,2.5
2019,1,1,,06:20,,987.3,100,2.6
2019,1,1,,06:30,,987,100,2.4
2019,1,1,,06:40,,986.7,100,2.5
2019,1,1,,06:50,,986.5,100,2.5
2019,1,1,,07:00,,986.1,100,2.6
2019,1,1,,07:10,,985.8,100,2.5
2019,1,1,,07:20,,985.6,100,2.6
2019,1,1,,07:30,,985.3,100,2.4
2019,1,1,,07:40,,985.1,100,2.4
2019,1,1,,07:50,,984.8,100,2.4
2019,1,1,,08:00,,984.5,100,2.5
2019,1,1,,08:10,,984.3,100,2.5
2019,1,1,,08:20,,984.1,100,2.5
2019,1,1,,08:30,,983.8,100,2.6
2019,1,1,,08:40,,983.6,100,2.5
2019,1,1,,08:50,,983.4,100,2.6
2019,1,1,,09:00,,983.1,100,2.8
2019,1,1,,09:10,,982.8,100,2.7
2019,1,1,,09:20,,982.5,100,2.7
2019,1,1,,09:30,,982.4,100,2.7
2019,1,1,,09:40,,982.1,100,2.8
2019,1,1,,09:50,,981.8,100,3
2019,1,1,,10:00,,981.5,100,3
2019,1,1,,10:10,,981.4,100,3.1
2019,1,1,,10:20,,981.2,100,3.1
2019,1,1,,10:30,,981.1,100,3
2019,1,1,,10:40,,981,100,3.1
2019,1,1,,10:50,,980.8,100,3.1
2019,1,1,,11:00,,980.7,100,3.1
2019,1,1,,11:10,,980.7,100,3.1
2019,1,1,,11:20,,980.7,100,3.1
2019,1,1,,11:30,,980.6,100,3.1
2019,1,1,,11:40,,980.5,100,2.9
2019,1,1,,11:50,,980.4,100,2.8
2019,1,1,,12:00,,980.5,100,2.8
2019,1,1,,12:10,,980.4,100,2.9
2019,1,1,,12:20,,980.3,100,2.8
2019,1,1,,12:30,,980.3,100,3
2019,1,1,,12:40,,980.3,100,3.1
2019,1,1,,12:50,,980.4,100,3
2019,1,1,,13:00,,980.4,100,2.9
2019,1,1,,13:10,,980.4,100,2.7
2019,1,1,,13:20,,980.3,100,2.6
2019,1,1,,13:30,,980.4,100,2.7
2019,1,1,,13:40,,980.4,100,2.7
2019,1,1,,13:50,,980.4,100,2.5
2019,1,1,,14:00,,980.4,100,2.4
2019,1,1,,14:10,,980.4,100,2.4
2019,1,1,,14:20,,980.4,100,2.2
2019,1,1,,14:30,,980.4,100,2.2
2019,1,1,,14:40,,980.5,100,2.1
2019,1,1,,14:50,,980.5,100,2.1
2019,1,1,,15:00,,980.5,100,1.9
2019,1,1,,15:10,,980.6,100,2
2019,1,1,,15:20,,980.5,100,2
2019,1,1,,15:30,,980.6,100,2.1
2019,1,1,,15:40,,980.6,100,1.9
2019,1,1,,15:50,,980.6,100,1.9
2019,1,1,,16:00,,980.7,100,1.8
2019,1,1,,16:10,,980.7,100,1.7
2019,1,1,,16:20,,980.6,100,1.5
2019,1,1,,16:30,,980.6,100,1.5
2019,1,1,,16:40,,980.6,100,1.5
2019,1,1,,16:50,,980.8,100,1.4
2019,1,1,,17:00,,980.8,100,1.3
2019,1,1,,17:10,,980.8,100,1.2
2019,1,1,,17:20,,981,100,1.2
2019,1,1,,17:30,,981.1,100,1.1
2019,1,1,,17:40,,981.1,100,1.2
2019,1,1,,17:50,,981.2,100,1.2
2019,1,1,,18:00,,981.2,100,1.3
2019,1,1,,18:10,,981.3,100,1.2
2019,1,1,,18:20,,981.3,100,1.1
2019,1,1,,18:30,,981.3,100,1.2
2019,1,1,,18:40,,981.4,100,1.1
2019,1,1,,18:50,,981.5,100,1.1
2019,1,1,,19:00,,981.6,100,1.2
2019,1,1,,19:10,,981.6,100,1.1
2019,1,1,,19:20,,981.7,100,1
2019,1,1,,19:30,,981.9,100,1.1
2019,1,1,,19:40,,982,100,1.2
2019,1,1,,19:50,,982.1,100,1.1
2019,1,1,,20:00,,982.2,100,1
2019,1,1,,20:10,,982.4,100,1
2019,1,1,,20:20,,982.5,100,1
2019,1,1,,20:30,,982.7,100,1
2019,1,1,,20:40,,982.8,100,1.1
2019,1,1,,20:50,,982.9,100,1.3
2019,1,1,,21:00,,983,100,1
2019,1,1,,21:10,,983.1,100,1.1
2019,1,1,,21:20,,983.2,100,1.1
2019,1,1,,21:30,,983.4,100,1.2
2019,1,1,,21:40,,983.5,100,1.2
2019,1,1,,21:50,,983.7,100,1.3
2019,1,1,,22:00,,983.8,100,1.4
2019,1,1,,22:10,,983.9,99,1.4
2019,1,1,,22:20,,984.1,99,1.3
2019,1,1,,22:30,,984.3,99,1.3
2019,1,1,,22:40,,984.5,99,1.1
2019,1,1,,22:50,,984.7,100,0.9
2019,1,1,,23:00,,984.9,100,0.9
2019,1,1,,23:10,,985.1,100,0.9
2019,1,1,,23:20,,985.4,100,1
2019,1,1,,23:30,,985.7,100,1
2019,1,1,,23:40,,985.9,100,1.1
2019,1,1,,23:50,,986.2,100,1.1
2019,1,2,,00:00,,986.5,100,1
2019,1,2,,00:10,,986.7,100,1
2019,1,2,,00:20,,986.9,100,1
2019,1,2,,00:30,,987.2,100,0.9
2019,1,2,,00:40,,987.5,100,0.8
2019,1,2,,00:50,,987.7,100,0.8
2019,1,2,,01:00,,988,99,0.7
2019,1,2,,01:10,,988.3,99,0.6
2019,1,2,,01:20,,988.5,99,0.6
2019,1,2,,01:30,,988.8,99,0.6
2019,1,2,,01:40,,989,97,0.6
2019,1,2,,01:50,,989.2,97,0.6
2019,1,2,,02:00,,989.5,98,0.4
2019,1,2,,02:10,,989.8,97,0.4
2019,1,2,,02:20,,990.1,97,0.3
2019,1,2,,02:30,,990.5,97,0.2
2019,1,2,,02:40,,990.8,97,0
2019,1,2,,02:50,,991.2,98,-0.1
2019,1,2,,03:00,,991.6,97,-0.8
2019,1,2,,03:10,,992,96,-1.2
2019,1,2,,03:20,,992.3,93,-1.4
2019,1,2,,03:30,,992.5,94,-1.6
2019,1,2,,03:40,,992.9,92,-1.7
2019,1,2,,03:50,,993.2,91,-1.8
2019,1,2,,04:00,,993.6,89,-1.9
2019,1,2,,04:10,,994,88,-2
2019,1,2,,04:20,,994.5,88,-2.1
2019,1,2,,04:30,,994.7,88,-2.2
2019,1,2,,04:40,,995.1,86,-2.2
2019,1,2,,04:50,,995.4,87,-2.3
2019,1,2,,05:00,,995.7,85,-2.3
2019,1,2,,05:10,,996.1,85,-2.3
2019,1,2,,05:20,,996.5,84,-2.2
2019,1,2,,05:30,,996.9,84,-2.2
2019,1,2,,05:40,,997.2,83,-2.1
2019,1,2,,05:50,,997.5,85,-2.1
2019,1,2,,06:00,,997.8,86,-2.3
2019,1,2,,06:10,,998.2,88,-2.3
2019,1,2,,06:20,,998.5,90,-2.5
2019,1,2,,06:30,,998.9,92,-2.7
2019,1,2,,06:40,,999.1,91,-2.7
2019,1,2,,06:50,,999.3,90,-2.8
2019,1,2,,07:00,,999.7,89,-2.8
2019,1,2,,07:10,,1000.2,88,-2.8
2019,1,2,,07:20,,1000.5,87,-3
2019,1,2,,07:30,,1000.8,87,-3.1
2019,1,2,,07:40,,1001,89,-3.2
2019,1,2,,07:50,,1001.2,86,-3.2
2019,1,2,,08:00,,1001.6,88,-3.3
2019,1,2,,08:10,,1001.8,87,-3.4
2019,1,2,,08:20,,1002,86,-3.5
2019,1,2,,08:30,,1002.2,86,-3.6
2019,1,2,,08:40,,1002.4,85,-3.6
2019,1,2,,08:50,,1002.8,85,-3.6
2019,1,2,,09:00,,1003,84,-3.6
2019,1,2,,09:10,,1003.3,84,-3.6
2019,1,2,,09:20,,1003.5,84,-3.7
2019,1,2,,09:30,,1003.7,85,-3.7
2019,1,2,,09:40,,1003.9,85,-3.7
2019,1,2,,09:50,,1004,85,-3.8
2019,1,2,,10:00,,1004.3,85,-3.8
2019,1,2,,10:10,,1004.5,86,-3.9
2019,1,2,,10:20,,1004.6,85,-3.9
2019,1,2,,10:30,,1004.8,85,-3.9
2019,1,2,,10:40,,1005,85,-4
2019,1,2,,10:50,,1005.2,87,-4.2
2019,1,2,,11:00,,1005.4,88,-4.3
2019,1,2,,11:10,,1005.6,89,-4.4
2019,1,2,,11:20,,1005.8,89,-4.5
2019,1,2,,11:30,,1005.9,88,-4.5
2019,1,2,,11:40,,1006.1,86,-4.4
2019,1,2,,11:50,,1006.4,85,-4.3
2019,1,2,,12:00,,1006.7,84,-4.3
2019,1,2,,12:10,,1007,83,-4.3
2019,1,2,,12:20,,,,
2019,1,2,,12:30,,1007.4,85,-4.5
2019,1,2,,12:40,,1007.6,84,-4.5
2019,1,2,,12:50,,1007.9,83,-4.5
2019,1,2,,13:00,,1008.1,81,-4.5
2019,1,2,,13:10,,1008.5,79,-4.5
2019,1,2,,13:20,,1008.7,77,-4.5
2019,1,2,,13:30,,1008.9,76,-4.6
2019,1,2,,13:40,,1009.1,75,-4.7
2019,1,2,,13:50,,1009.4,75,-4.9
2019,1,2,,14:00,,1009.6,76,-5.1
2019,1,2,,14:10,,1009.7,75,-5.2
2019,1,2,,14:20,,1009.9,74,-5.3
2019,1,2,,14:30,,1010.2,72,-5.5
2019,1,2,,14:40,,1010.4,72,-5.7
2019,1,2,,14:50,,1010.7,69,-5.8
2019,1,2,,15:00,,1011,68,-5.9
2019,1,2,,15:10,,1011.1,68,-6.1
2019,1,2,,15:20,,1011.3,66,-6.1
2019,1,2,,15:30,,1011.5,66,-6.2
2019,1,2,,15:40,,1011.7,67,-6.4
2019,1,2,,15:50,,1011.9,67,-6.5
2019,1,2,,16:00,,1012.1,68,-6.6
2019,1,2,,16:10,,1012.2,68,-6.6
2019,1,2,,16:20,,1012.3,69,-6.7
2019,1,2,,16:30,,1012.5,68,-6.7
2019,1,2,,16:40,,1012.6,69,-6.8
2019,1,2,,16:50,,1012.7,69,-6.8
2019,1,2,,17:00,,1012.7,67,-6.8
2019,1,2,,17:10,,1012.9,69,-7
2019,1,2,,17:20,,1013.1,70,-7.1
2019,1,2,,17:30,,1013.2,70,-7.2
2019,1,2,,17:40,,1013.4,70,-7.2
2019,1,2,,17:50,,1013.5,71,-7.3
2019,1,2,,18:00,,1013.6,70,-7.2
2019,1,2,,18:10,,1013.8,70,-7.2
2019,1,2,,18:20,,1013.9,70,-7.3
2019,1,2,,18:30,,1014.2,70,-7.4
2019,1,2,,18:40,,1014.4,70,-7.4
2019,1,2,,18:50,,1014.5,71,-7.5
2019,1,2,,19:00,,1014.5,71,-7.5
2019,1,2,,19:10,,1014.7,70,-7.4
2019,1,2,,19:20,,1014.8,71,-7.4
2019,1,2,,19:30,,1014.9,72,-7.5
2019,1,2,,19:40,,1015.1,73,-7.5
2019,1,2,,19:50,,1015.2,73,-7.5
2019,1,2,,20:00,,1015.2,74,-7.6
2019,1,2,,20:10,,1015.4,75,-7.7
2019,1,2,,20:20,,1015.6,75,-7.7
2019,1,2,,20:30,,1015.7,75,-7.6
2019,1,2,,20:40,,1015.9,73,-7.6
2019,1,2,,20:50,,1016,72,-7.6
2019,1,2,,21:00,,1016.1,72,-7.6
2019,1,2,,21:10,,1016.2,72,-7.5
2019,1,2,,21:20,,1016.3,72,-7.5
2019,1,2,,21:30,,1016.5,70,-7.4
2019,1,2,,21:40,,1016.7,70,-7.6
2019,1,2,,21:50,,1016.9,70,-7.6
2019,1,2,,22:00,,1017.1,69,-7.5
2019,1,2,,22:10,,1017.2,71,-7.6
2019,1,2,,22:20,,1017.2,71,-7.6
2019,1,2,,22:30,,1017.4,71,-7.7
2019,1,2,,22:40,,1017.5,71,-7.7
2019,1,2,,22:50,,1017.6,70,-7.7
2019,1,2,,23:00,,1017.7,70,-7.8
2019,1,2,,23:10,,1017.9,70,-7.9
2019,1,2,,23:20,,1018,70,-7.8
2019,1,2,,23:30,,1018.1,70,-7.9
2019,1,2,,23:40,,1018.2,70,-8
2019,1,2,,23:50,,1018.4,70,-8
2019,1,3,,00:00,,1018.6,68,-7.8
2019,1,3,,00:10,,1018.7,70,-8
2019,1,3,,00:20,,1018.9,70,-8.1
2019,1,3,,00:30,,1018.9,70,-8.1
2019,1,3,,00:40,,1019.1,71,-8.2
2019,1,3,,00:50,,1019.1,70,-8.1
2019,1,3,,01:00,,1019.2,71,-8.3
2019,1,3,,01:10,,1019.4,71,-8.2
2019,1,3,,01:20,,1019.6,71,-8.2
2019,1,3,,01:30,,1019.7,72,-8.4
2019,1,3,,01:40,,1019.8,72,-8.4
2019,1,3,,01:50,,1020,74,-8.6
2019,1,3,,02:00,,1020.2,74,-8.5
2019,1,3,,02:10,,1020.4,75,-8.7
2019,1,3,,02:20,,1020.5,76,-8.7
2019,1,3,,02:30,,1020.7,77,-8.7
2019,1,3,,02:40,,1020.9,77,-8.8
2019,1,3,,02:50,,1021,79,-8.9
2019,1,3,,03:00,,1021.1,79,-9
2019,1,3,,03:10,,1021.3,79,-9
2019,1,3,,03:20,,1021.4,80,-9
2019,1,3,,03:30,,1021.5,80,-8.9
2019,1,3,,03:40,,1021.7,80,-9
2019,1,3,,03:50,,1021.9,80,-9
2019,1,3,,04:00,,1022.1,81,-9.3
2019,1,3,,04:10,,1022.2,82,-9.4
2019,1,3,,04:20,,1022.4,82,-9.5
2019,1,3,,04:30,,1022.6,82,-9.6
2019,1,3,,04:40,,1022.7,82,-9.5
2019,1,3,,04:50,,1023,82,-9.7
2019,1,3,,05:00,,1023.2,83,-9.8
2019,1,3,,05:10,,1023.3,83,-9.9
2019,1,3,,05:20,,1023.4,83,-9.8
2019,1,3,,05:30,,1023.6,83,-9.9
2019,1,3,,05:40,,1023.8,82,-9.8
2019,1,3,,05:50,,1023.7,81,-9.6
2019,1,3,,06:00,,1024,80,-9.5
2019,1,3,,06:10,,1024.2,80,-9.6
2019,1,3,,06:20,,1024.5,80,-9.8
2019,1,3,,06:30,,1024.7,81,-10
2019,1,3,,06:40,,1024.9,82,-10.1
2019,1,3,,06:50,,1025.1,82,-10.1
2019,1,3,,07:00,,1025.3,82,-10.3
2019,1,3,,07:10,,1025.4,83,-10.4
2019,1,3,,07:20,,1025.5,83,-10.5
2019,1,3,,07:30,,1025.6,83,-10.4
2019,1,3,,07:40,,1025.8,83,-10.4
2019,1,3,,07:50,,1026,83,-10.5
2019,1,3,,08:00,,1026.2,83,-10.5
2019,1,3,,08:10,,1026.3,83,-10.4
2019,1,3,,08:20,,1026.4,82,-10.3
2019,1,3,,08:30,,1026.6,83,-10.4
2019,1,3,,08:40,,1026.8,82,-10.2
2019,1,3,,08:50,,1026.8,82,-10.2
2019,1,3,,09:00,,1026.9,81,-10
2019,1,3,,09:10,,1026.9,81,-9.8
2019,1,3,,09:20,,1026.9,81,-9.7
2019,1,3,,09:30,,1027,81,-9.8
2019,1,3,,09:40,,1027,82,-9.8
2019,1,3,,09:50,,1027,81,-9.7
2019,1,3,,10:00,,1027,81,-9.5
2019,1,3,,10:10,,1027,81,-9.5
2019,1,3,,10:20,,1027.1,80,-9.3
2019,1,3,,10:30,,1027.1,80,-9.3
2019,1,3,,10:40,,1027.1,79,-9.2
2019,1,3,,10:50,,1027.2,78,-9.1
2019,1,3,,11:00,,1027.2,77,-9
2019,1,3,,11:10,,1027.2,77,-9
2019,1,3,,11:20,,1027.2,77,-9
2019,1,3,,11:30,,1027.1,76,-9
2019,1,3,,11:40,,1027.1,76,-9.1
2019,1,3,,11:50,,1027.2,76,-9.2
2019,1,3,,12:00,,1027.3,77,-9.2
2019,1,3,,12:10,,1027.4,77,-9.2
2019,1,3,,12:20,,1027.3,78,-9.5
2019,1,3,,12:30,,1027.4,79,-9.6
2019,1,3,,12:40,,1027.4,80,-9.7
2019,1,3,,12:50,,1027.4,80,-9.9
2019,1,3,,13:00,,1027.5,81,-10
2019,1,3,,13:10,,1027.6,82,-10.2
2019,1,3,,13:20,,1027.8,82,-10.5
2019,1,3,,13:30,,1027.8,83,-10.6
2019,1,3,,13:40,,1027.9,83,-10.8
2019,1,3,,13:50,,1028,84,-11.1
2019,1,3,,14:00,,1028,85,-11.2
2019,1,3,,14:10,,1028,85,-11.3
2019,1,3,,14:20,,1027.8,85,-11.3
2019,1,3,,14:30,,1027.6,85,-11.5
2019,1,3,,14:40,,1027.6,86,-11.8
2019,1,3,,14:50,,1027.5,87,-12
2019,1,3,,15:00,,1027.6,88,-12.2
2019,1,3,,15:10,,1027.3,88,-12.2
2019,1,3,,15:20,,1027.6,89,-12.3
2019,1,3,,15:30,,1027.4,88,-12.4
2019,1,3,,15:40,,1027.5,89,-12.3
2019,1,3,,15:50,,1027.7,88,-12.3
2019,1,3,,16:00,,1027.8,88,-12.3
2019,1,3,,16:10,,1027.6,88,-12.4
2019,1,3,,16:20,,1027.5,89,-12.5
